"sector";"company_size";"user_role";"job_position";"occupation";"working_times";"home_office";"self_initiative";"flexibility";"leadership";"communication";"creativity";"customer_orientation";"organization";"problem_solving";"resilience";"goal_orientation";"created"
"";"";[];Datenwissenschaftler/Datenwissenschaftlerin;;;;83;83;;83;83;83;83;83;83;83;"2023-03-28 15:57:45"
"";"";[];"";"";"";0;83;42;50;72;75;50;67;33;61;67;"2023-05-15 14:29:10"
Sonstiges;Weniger als 100;"[""flex. Arbeitszeiten"",""Homeoffice"",""Kinderbetreuung""]";Buchalterin ;Lohn- und Gehaltsbuchhalter/Lohn- und Gehaltsbuchhalterin;Teilzeit;1;83;42;61;72;71;78;56;61;44;72;"2023-05-22 21:19:54"
Produzierendes Gewerbe / Industrie;Weniger als 500;"[""Homeoffice"",""flex. Arbeitszeiten"",""Mobiles Arbeiten"",""Gesundheitsf\u00f6rderung \/ -ma\u00dfnahmen"",""betriebliche Altersvorsorge"",""Verm\u00f6genswirksame Leistungen""]";Produktmanager;Manager/Managerin;Vollzeit;1;83;67;56;61;63;50;78;67;83;56;"2023-05-30 12:18:10"
IT, Medien und Telekommunikation;Weniger als 100;"[""Homeoffice"",""flex. Arbeitszeiten"",""Mobiles Arbeiten"",""Gesundheitsf\u00f6rderung \/ -ma\u00dfnahmen"",""Fortbildungsangebote"",""internationale Arbeitseins\u00e4tze m\u00f6glich""]";"";Mediengestalter Digital und Print – Gestaltung und Technik/Mediengestalterin Digital und Print – Gestaltung und Technik;Vollzeit;1;83;67;72;83;67;72;94;67;56;72;"2023-06-02 07:52:29"
Sonstiges;Weniger als 5000;"[""flex. Arbeitszeiten"",""Homeoffice"",""Mitarbeiter-Events"",""betriebliche Altersvorsorge"",""Mitarbeiter-Beteiligung"",""Verm\u00f6genswirksame Leistungen"",""Fortbildungsangebote"",""gute Verkehrsanbindung"",""internationale Arbeitseins\u00e4tze m\u00f6glich""]";Sicherheitsmitarbeiter;Abfallentsorgungsarbeiter und sonstige Hilfsarbeitskräfte;Vollzeit;1;78;75;72;83;63;78;67;61;67;78;"2023-06-13 11:34:53"
Dienstleistungen;Weniger als 50;"[""Homeoffice"",""flex. Arbeitszeiten"",""Mobiles Arbeiten"",""Mitarbeiter-Events"",""Gesundheitsf\u00f6rderung \/ -ma\u00dfnahmen"",""Mitarbeiter-Beteiligung"",""Fortbildungsangebote""]";MitarbeiterIn in der Kundenbetreuung;Kundenbetreuer/Kundenbetreuerin;Beides möglich;1;72;67;78;78;75;100;50;61;56;67;"2023-06-19 09:42:17"
Dienstleistungen;Weniger als 50;"[""Homeoffice"",""flex. Arbeitszeiten"",""Mobiles Arbeiten"",""Kinderbetreuung"",""Mitarbeiter-Events"",""Gesundheitsf\u00f6rderung \/ -ma\u00dfnahmen"",""betriebliche Altersvorsorge"",""Fortbildungsangebote""]";Rekruiter:in;Personalberater/Personalberaterin;Beides möglich;1;83;92;83;83;71;100;61;83;78;39;"2023-06-19 13:47:37"
Produzierendes Gewerbe / Industrie;Weniger als 100;"[""Homeoffice"",""gute Verkehrsanbindung"",""Mobiles Arbeiten"",""flex. Arbeitszeiten""]";"";"";Vollzeit;1;100;92;100;89;100;94;100;94;83;89;"2023-06-27 18:58:22"
Produzierendes Gewerbe / Industrie;Weniger als 1000;"[""Homeoffice"",""flex. Arbeitszeiten"",""Mobiles Arbeiten"",""Mitarbeiter-Events"",""Kantine \/ Essenzulagen"",""Gesundheitsf\u00f6rderung \/ -ma\u00dfnahmen"",""Mitarbeiter-Beteiligung"",""betriebliche Altersvorsorge"",""Verm\u00f6genswirksame Leistungen"",""Fortbildungsangebote"",""Mitarbeiter-Rabatte"",""Parkplatz"",""gute Verkehrsanbindung"",""Job-Rotation"",""internationale Arbeitseins\u00e4tze m\u00f6glich""]";Projektmanagement;Projektmanager/Projektmanagerin;Beides möglich;0;61;50;72;56;79;72;89;61;56;78;"2023-07-04 20:30:15"
