,user_id,age,education_level,children,professional_interests,last_job,gender,country,self_initiative,flexibility,leadership,communication,creativity,customer_orientation,organization,problem_solving,resilience,goal_orientation,job_recommendations,job_ratings,created
0,10735,57.0,Bachelor oder vergleichbar,keine,"[""Gesundheit, Soziales, Lehre und Erziehung"",""Unternehmensorganisation, Buchhaltung, Recht und Verwaltung"",""Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus"",""Sprach-, Geistes-, Gesellschafts- und Wirtschaftswissenschaften, Medien, Kunst und Kultur""]",Einkäufer,m,de,83,72,94,89,89,94,83,89,39,72,"http://data.europa.eu/esco/occupation/dd25a2b0-add0-4ae2-bd85-bb644e0d0c39,http://data.europa.eu/esco/occupation/6fed206a-ac4d-492b-a81a-5a3a0f2b67bc,http://data.europa.eu/esco/occupation/0f7c84c5-1c0d-4fc1-8949-07dbe8bd34ef,http://data.europa.eu/esco/occupation/cbde2432-cb7f-451f-a686-b22cad3957a6,http://data.europa.eu/esco/occupation/234be692-befb-41df-bdf0-e1b2f4eaf5e7","0,0,0,0,0",2023-12-20 12:13:45
1,10736,31.0,(Fach-)Abitur oder vergleichbar,keine,"[""Bau, Architektur, Vermessung und Gebäudetechnik"",""Unternehmensorganisation, Buchhaltung, Recht und Verwaltung"",""Sprach-, Geistes-, Gesellschafts- und Wirtschaftswissenschaften, Medien, Kunst und Kultur""]",,m,de,67,72,78,78,67,94,89,67,56,72,"http://data.europa.eu/esco/occupation/9a26d76b-b9e3-46ae-ab4b-057a1262138b,http://data.europa.eu/esco/occupation/234be692-befb-41df-bdf0-e1b2f4eaf5e7,http://data.europa.eu/esco/occupation/8f9b20ff-86b3-478c-8054-73a220973d6f,http://data.europa.eu/esco/occupation/219e7fdd-5889-4517-9e86-620a12d535aa,http://data.europa.eu/esco/occupation/3417aab3-8b87-4c3b-bee6-be03fe05be2b","-1,-1,-1,-1,-1",2023-12-20 12:51:23
2,10737,19.0,(Fach-)Abitur oder vergleichbar,keine,"[""Sprach-, Geistes-, Gesellschafts- und Wirtschaftswissenschaften, Medien, Kunst und Kultur""]",,f,andere,100,100,100,89,89,100,94,94,72,100,,,2023-12-20 18:18:44
3,10738,34.0,Bachelor oder vergleichbar,keine,"[""Naturwissenschaft, Geografie und Informatik""]",,m,andere,78,72,78,89,83,67,50,78,89,89,"http://data.europa.eu/esco/occupation/29fa406d-de89-4515-be8d-0fe7bda993f1,http://data.europa.eu/esco/occupation/dca305c8-d665-462c-bdc9-c3a19734ba18,http://data.europa.eu/esco/occupation/e96cec32-9960-4496-a790-a9d2254906fc,http://data.europa.eu/esco/occupation/6b0ad7c0-a37f-45c6-a486-ee943a11429e,http://data.europa.eu/esco/occupation/fc81b573-e0ea-4466-8560-c2bb278c314a","-1,1,-1,-1,-1",2023-12-20 22:49:51
4,10739,29.0,Bachelor oder vergleichbar,keine,"[""Unternehmensorganisation, Buchhaltung, Recht und Verwaltung"",""Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus"",""Gesundheit, Soziales, Lehre und Erziehung"",""Sprach-, Geistes-, Gesellschafts- und Wirtschaftswissenschaften, Medien, Kunst und Kultur"",""Verkehr, Logistik, Schutz und Sicherheit"",""Bau, Architektur, Vermessung und Gebäudetechnik""]",Innenarchitekt/Innenarchitektin,f,andere,56,83,83,61,56,44,94,72,56,94,"http://data.europa.eu/esco/occupation/1b422c31-f242-46b5-bbdc-aa63885e4b5c,http://data.europa.eu/esco/occupation/a28dff76-74df-46ee-929f-d1fffbb63cd7,http://data.europa.eu/esco/occupation/109e0a5d-203d-4af6-8f70-692111335ec3,http://data.europa.eu/esco/occupation/6aa78e46-ce22-421f-8a75-e915ac63c9d0,http://data.europa.eu/esco/occupation/7db415ec-0437-4a5e-95ea-622ea9f13dd0","1,1,1,-1,-1",2023-12-20 23:09:40
5,10740,35.0,Promotion/PHD oder vergleichbar,keine,"[""Verkehr, Logistik, Schutz und Sicherheit"",""Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus"",""Unternehmensorganisation, Buchhaltung, Recht und Verwaltung"",""Land-, Forst- und Tierwirtschaft und Gartenbau"",""Rohstoffgewinnung, Produktion und Fertigung"",""Bau, Architektur, Vermessung und Gebäudetechnik"",""Naturwissenschaft, Geografie und Informatik"",""Sprach-, Geistes-, Gesellschafts- und Wirtschaftswissenschaften, Medien, Kunst und Kultur"",""Gesundheit, Soziales, Lehre und Erziehung"",""Militär""]",Verkaufsleiter/Verkaufsleiterin,f,andere,89,83,83,83,72,72,72,28,61,72,"http://data.europa.eu/esco/occupation/0599d0e7-398f-464b-97bb-427686f27d50,http://data.europa.eu/esco/occupation/95f56fc4-99f9-49da-b942-1dfbc857e933,http://data.europa.eu/esco/occupation/58ff0ec2-08ba-4b21-b765-babb6d76ca36,http://data.europa.eu/esco/occupation/e4ad2547-9188-4fbd-897a-c91b3c097779,http://data.europa.eu/esco/occupation/acbb7a20-c947-480d-a07e-868a0ab3eab8","-1,-1,-1,-1,-1",2023-12-21 00:00:26
6,10742,57.0,Abgeschlossene Ausbildung,keine,"[""Unternehmensorganisation, Buchhaltung, Recht und Verwaltung"",""Gesundheit, Soziales, Lehre und Erziehung"",""Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus""]",Personalsachbearbeiter/Personalsachbearbeiterin,f,de,89,83,100,100,89,100,100,100,83,94,"http://data.europa.eu/esco/occupation/c784c2db-e636-429f-8492-3191790a58d7,http://data.europa.eu/esco/occupation/c7f5cab7-7cfb-47d7-890c-6b9c00a9eaaf,http://data.europa.eu/esco/occupation/a580e79a-b752-49c1-b033-b5ab2b34bfba,http://data.europa.eu/esco/occupation/b9b47087-6045-405d-b769-6a0c94e2eb84,http://data.europa.eu/esco/occupation/31db6bd9-ee84-4a57-ac9e-87e243ba1c69","0,0,0,0,0",2023-12-21 11:59:32
7,10743,44.0,Master/Diplom oder vergleichbar,keine,"[""Unternehmensorganisation, Buchhaltung, Recht und Verwaltung"",""Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus""]",Lehrkräfte,f,andere,78,72,78,78,61,78,83,56,56,83,"http://data.europa.eu/esco/occupation/4a3f40a8-0587-494c-b8d3-7098b8c5992f,http://data.europa.eu/esco/occupation/8f9b20ff-86b3-478c-8054-73a220973d6f,http://data.europa.eu/esco/occupation/be235deb-6181-43ca-8127-7010a689643a,http://data.europa.eu/esco/occupation/ffade2f4-2528-4dfd-b36a-6e4092be08ed,http://data.europa.eu/esco/occupation/71e4891f-48a6-435f-8897-208969fb4e44","0,0,0,0,0",2023-12-22 06:35:04
8,10745,35.0,Bachelor oder vergleichbar,keine,"[""Naturwissenschaft, Geografie und Informatik"",""Land-, Forst- und Tierwirtschaft und Gartenbau""]",Logistik- und Vertriebsmanager/Logistik- und Vertriebsmanagerin,f,de,50,78,72,72,56,56,78,83,67,72,"http://data.europa.eu/esco/occupation/61b859ed-24d8-48cf-9c1b-67d7a6c62bb5,http://data.europa.eu/esco/occupation/4543bf7b-8ffb-4ade-88b9-58da34366f04,http://data.europa.eu/esco/occupation/107d21c6-973b-411c-89fd-69da48d29ada,http://data.europa.eu/esco/occupation/1a8bda86-307e-4cc0-a945-ceb678ff1471,http://data.europa.eu/esco/occupation/7d8b3c73-20f8-467e-91e4-00378673a2cd","1,1,-1,-1,1",2023-12-22 23:04:43
9,10746,31.0,Volks-/Hauptschulabschluss oder vergleichbar,keine,,Stuckateure,f,de,56,44,56,50,61,61,61,50,50,61,,,2023-12-23 12:46:38
